2025-06-16 18:04:18 | INFO     | telegram_schedule_bot.KeyboardFactory | keyboards:__init__:21 | Ініціалізація фабрики клавіатур | PID:21080
2025-06-16 18:04:18 | INFO     | telegram_schedule_bot.CommandHandlers | commands:__init__:35 | Инициализация обработчиков команд | PID:21080
2025-06-16 18:04:18 | INFO     | telegram_schedule_bot.CommandHandlers | commands:__init__:35 | Инициализация обработчиков команд | PID:21080
2025-06-16 18:04:18 | INFO     | telegram_schedule_bot.TelegramBot | bot:__init__:45 | Инициализация Telegram бота завершена | PID:21080
2025-06-16 18:04:18 | INFO     | telegram_schedule_bot | bot:main:278 | Загружено пользователей: 1 | PID:21080
2025-06-16 18:04:18 | INFO     | telegram_schedule_bot | bot:main:279 | Загружено групп: 1 | PID:21080
2025-06-16 18:04:18 | INFO     | telegram_schedule_bot.TelegramBot | bot:start:232 | Создание Application... | PID:21080
2025-06-16 18:04:18 | INFO     | telegram_schedule_bot.TelegramBot | bot:_create_conversation_handlers:145 | Создано 3 обработчиков диалогов | PID:21080
2025-06-16 18:04:18 | INFO     | telegram_schedule_bot.TelegramBot | bot:_register_handlers:192 | Все обработчики успешно зарегистрированы | PID:21080
2025-06-16 18:04:18 | INFO     | telegram_schedule_bot.TelegramBot | bot:_setup_scheduled_jobs:227 | Запланированные задачи настроены | PID:21080
2025-06-16 18:04:18 | INFO     | telegram_schedule_bot.TelegramBot | bot:start:249 | Инициализация завершена. Запускаю polling... | PID:21080
2025-06-16 18:30:33 | INFO     | telegram_schedule_bot.NotificationService | notifications:send_next_lesson_notifications:393 | Отправка уведомлений о следующей паре (после 7 пары) | PID:21080
2025-06-16 18:30:33 | ERROR    | telegram_schedule_bot.NotificationService | notifications:_send_next_lesson_to_user:467 | Ошибка отправки уведомления о следующей паре пользователю 6051391474: 'ScheduleService' object has no attribute 'get_day_schedule' | PID:21080
2025-06-16 18:30:33 | ERROR    | telegram_schedule_bot.NotificationService | notifications:_send_next_lesson_to_group:567 | Ошибка отправки уведомления о следующей паре в группу -1002201060088: 'ScheduleService' object has no attribute 'get_day_schedule' | PID:21080
2025-06-16 20:00:33 | INFO     | telegram_schedule_bot.NotificationService | notifications:send_next_lesson_notifications:393 | Отправка уведомлений о следующей паре (после 8 пары) | PID:21080
2025-06-16 20:00:33 | ERROR    | telegram_schedule_bot.NotificationService | notifications:_send_next_lesson_to_user:467 | Ошибка отправки уведомления о следующей паре пользователю 6051391474: 'ScheduleService' object has no attribute 'get_day_schedule' | PID:21080
2025-06-16 20:00:33 | ERROR    | telegram_schedule_bot.NotificationService | notifications:_send_next_lesson_to_group:567 | Ошибка отправки уведомления о следующей паре в группу -1002201060088: 'ScheduleService' object has no attribute 'get_day_schedule' | PID:21080
